event_date, interface_type, app_version, num_visit, num_search, num_product_viewed, num_add_to_cart, num_checkout, num_payment_selected, num_booking_created, num_session_visit, num_session_search, num_session_product_viewed, num_session_add_to_cart, num_session_checkout, num_session_payment_selected, num_session_booking_created
2019-02-27,ANDROID,2.8.0.Debug,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-27,ANDROID,2.9.0.Debug,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-27,IOS,1.10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-27,IOS,1.9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-27,IOS,2.0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-27,IOS,2.0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-27,IOS,2.0.2,18,5,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-27,IOS,2.1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-27,IOS,2.1.1,4,1,2,2,1,1,1,0,0,0,0,0,0,0
2019-02-27,IOS,2.2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-27,IOS,2.3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-27,IOS,2.3.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-27,IOS,2.4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-27,IOS,2.5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-27,IOS,2.5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-27,IOS,2.5.2,15,15,6,6,0,0,0,0,0,0,0,0,0,0
2019-02-27,IOS,2.5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-27,IOS,2.6.0,25,8,4,0,0,0,0,0,0,0,0,0,0,0
2019-02-27,IOS,2.6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-27,IOS,2.7.0,0,0,0,0,0,0,0,47,19,2,0,0,0,0
